accident_year,sex_ofcasualty,age_band_casualty,pedestrian_location,pedestrian_movement,casualty_severity,local_authority_ons_district,casualty_count
2014,Female,0-5,Crossing elsewhere,Crossing from nearside - masked,Serious,E09000005,3
2014,Female,0-5,Crossing elsewhere,Crossing from nearside - masked,Serious,E09000028,6
2014,Female,0-5,Crossing elsewhere,Crossing from nearside - masked,Slight,E09000005,3
2014,Female,0-5,Crossing elsewhere,Crossing from nearside - masked,Slight,E09000008,6
2014,Female,0-5,Crossing elsewhere,Crossing from nearside - masked,Slight,E09000020,6
2014,Female,0-5,Crossing elsewhere,Crossing from nearside - masked,Slight,E09000025,12
2014,Female,0-5,Crossing elsewhere,Crossing from nearside,Serious,E09000015,6
2014,Female,0-5,Crossing elsewhere,Crossing from nearside,Serious,E09000018,6
2014,Female,0-5,Crossing elsewhere,Crossing from nearside,Serious,E09000023,3
2014,Female,0-5,Crossing elsewhere,Crossing from nearside,Slight,E09000002,6
2014,Female,0-5,Crossing elsewhere,Crossing from nearside,Slight,E09000004,6
2014,Female,0-5,Crossing elsewhere,Crossing from nearside,Slight,E09000008,6
2014,Female,0-5,Crossing elsewhere,Crossing from nearside,Slight,E09000009,6
2014,Female,0-5,Crossing elsewhere,Crossing from nearside,Slight,E09000011,6
2014,Female,0-5,Crossing elsewhere,Crossing from nearside,Slight,E09000018,6
2014,Female,0-5,Crossing elsewhere,Crossing from nearside,Slight,E09000020,6
2014,Female,0-5,Crossing elsewhere,Crossing from nearside,Slight,E09000021,12
2014,Female,0-5,Crossing elsewhere,Crossing from nearside,Slight,E09000022,6
2014,Female,0-5,Crossing elsewhere,Crossing from nearside,Slight,E09000024,3
2014,Female,0-5,Crossing elsewhere,Crossing from nearside,Slight,E09000025,6
2014,Female,0-5,Crossing elsewhere,Crossing from nearside,Slight,E09000032,6
2014,Female,0-5,Crossing elsewhere,Crossing from nearside,Slight,E09000033,6
2014,Female,0-5,Crossing elsewhere,Crossing from offside - masked,Serious,E09000024,3
2014,Female,0-5,Crossing elsewhere,Crossing from offside - masked,Slight,E09000010,12
2014,Female,0-5,Crossing elsewhere,Crossing from offside - masked,Slight,E09000012,6
2014,Female,0-5,Crossing elsewhere,Crossing from offside - masked,Slight,E09000014,6
2014,Female,0-5,Crossing elsewhere,Crossing from offside,Serious,E09000018,6
2014,Female,0-5,Crossing elsewhere,Crossing from offside,Serious,E09000024,3
2014,Female,0-5,Crossing elsewhere,Crossing from offside,Slight,E09000013,6
2014,Female,0-5,Crossing elsewhere,Crossing from offside,Slight,E09000027,6
2014,Female,0-5,Crossing elsewhere,Unknown or other,Slight,E09000003,6
2014,Female,0-5,Crossing in zig-zag approach,Crossing from nearside,Slight,E09000017,6
2014,Female,0-5,Crossing on pedestrian crossing,Crossing from nearside,Slight,E09000009,3
2014,Female,0-5,Crossing on pedestrian crossing,Crossing from nearside,Slight,E09000024,3
2014,Female,0-5,Crossing on pedestrian crossing,Crossing from nearside,Slight,E09000026,6
2014,Female,0-5,Crossing on pedestrian crossing,Crossing from nearside,Slight,E09000032,6
2014,Female,0-5,Crossing on pedestrian crossing,Crossing from nearside,Slight,E09000033,12
2014,Female,0-5,Crossing on pedestrian crossing,Crossing from offside - masked,Slight,E09000026,6
2014,Female,0-5,Crossing on pedestrian crossing,Crossing from offside,Serious,E09000020,6
2014,Female,0-5,Crossing within 50m of crossing,Crossing from nearside,Serious,E09000027,6
2014,Female,0-5,Crossing within 50m of crossing,Crossing from nearside,Slight,E09000008,12
2014,Female,0-5,Crossing within 50m of crossing,Crossing from nearside,Slight,E09000022,6
2014,Female,0-5,Crossing within 50m of crossing,Crossing from nearside,Slight,E09000025,6
2014,Female,0-5,Crossing within 50m of crossing,Crossing from offside - masked,Slight,E09000007,3
2014,Female,0-5,Crossing within 50m of crossing,Crossing from offside - masked,Slight,E09000026,6
2014,Female,0-5,In carriageway, not crossing,Slight,E09000014,6
2014,Female,0-5,On footway or verge,Unknown or other,Slight,E09000005,3
2014,Female,0-5,On footway or verge,Unknown or other,Slight,E09000018,6
2014,Female,0-5,On footway or verge,Unknown or other,Slight,E09000020,6
2014,Female,0-5,On footway or verge,Unknown or other,Slight,E09000021,12
2014,Female,0-5,Unknown or other,Crossing from nearside - masked,Slight,E09000010,6
2014,Female,0-5,Unknown or other,Crossing from nearside,Slight,E09000003,6
2014,Female,0-5,Unknown or other,Unknown or other,Slight,E09000005,3
2014,Female,0-5,Unknown or other,Unknown or other,Slight,E09000012,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside - masked,Serious,E09000025,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside - masked,Slight,E09000002,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside - masked,Slight,E09000003,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside - masked,Slight,E09000008,12
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside - masked,Slight,E09000009,3
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside - masked,Slight,E09000010,12
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside - masked,Slight,E09000012,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside - masked,Slight,E09000016,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside - masked,Slight,E09000023,3
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Serious,E09000003,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Serious,E09000030,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Serious,E09000032,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000002,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000003,18
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000004,24
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000005,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000006,36
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000008,18
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000009,9
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000010,12
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000011,18
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000012,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000013,12
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000015,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000016,18
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000017,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000018,12
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000020,12
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000022,18
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000023,9
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000024,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000026,12
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000028,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000029,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000030,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000032,12
2014,Female,Nov-15,Crossing elsewhere,Crossing from nearside,Slight,E09000033,24
2014,Female,Nov-15,Crossing elsewhere,Crossing from offside - masked,Slight,E09000002,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from offside - masked,Slight,E09000008,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from offside - masked,Slight,E09000012,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from offside - masked,Slight,E09000015,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from offside - masked,Slight,E09000022,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from offside - masked,Slight,E09000033,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from offside,Serious,E09000003,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from offside,Serious,E09000020,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from offside,Slight,E09000002,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from offside,Slight,E09000003,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from offside,Slight,E09000006,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from offside,Slight,E09000009,3
2014,Female,Nov-15,Crossing elsewhere,Crossing from offside,Slight,E09000010,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from offside,Slight,E09000011,6
2014,Female,Nov-15,Crossing elsewhere,Crossing from offside,Slight,E09000012,12
2014,Female,Nov-15,Crossing elsewhere,Crossing from offside,Slight,E09000015,12
2014,Female,Nov-15,Crossing elsewhere,Crossing from offside,Slight,E09000016,12
2014,Female,Nov-15,Crossing elsewhere,Crossing from offside,Slight,E09000017,12
