accident_year,speed_limit,road_surface_conditions,weather_conditions,urban_or_rural_area,accident_severity,accident_count
2019,20,Dry,Fine with high winds,Rural,Fatal,1
2019,20,Dry,Fine with high winds,Urban,Fatal,1
2023,20,Dry,Fine with high winds,Rural,Fatal,1
2023,20,Dry,Fine with high winds,Urban,Fatal,1
2015,30,Dry,Fine with high winds,Rural,Fatal,1
2015,30,Dry,Fine with high winds,Urban,Fatal,2
2016,30,Dry,Fine with high winds,Rural,Fatal,1
2016,30,Dry,Fine with high winds,Urban,Fatal,1
2017,30,Dry,Fine with high winds,Rural,Fatal,1
2017,30,Dry,Fine with high winds,Urban,Fatal,1
2018,30,Dry,Fine with high winds,Rural,Fatal,1
2018,30,Dry,Fine with high winds,Urban,Fatal,1
2021,30,Dry,Fine with high winds,Rural,Fatal,1
2021,30,Dry,Fine with high winds,Urban,Fatal,1
2022,30,Dry,Fine with high winds,Rural,Fatal,1
2022,30,Dry,Fine with high winds,Urban,Fatal,1
2018,50,Dry,Fine with high winds,Rural,Fatal,1
2018,50,Dry,Fine with high winds,Urban,Fatal,1
2014,20,Dry,Fine without high winds,Rural,Fatal,1
2014,20,Dry,Fine without high winds,Urban,Fatal,1
2016,20,Dry,Fine without high winds,Rural,Fatal,2
2016,20,Dry,Fine without high winds,Urban,Fatal,4
2017,20,Dry,Fine without high winds,Rural,Fatal,7
2017,20,Dry,Fine without high winds,Urban,Fatal,10
2018,20,Dry,Fine without high winds,Rural,Fatal,4
2018,20,Dry,Fine without high winds,Urban,Fatal,8
2019,20,Dry,Fine without high winds,Rural,Fatal,7
2019,20,Dry,Fine without high winds,Urban,Fatal,14
2020,20,Dry,Fine without high winds,Rural,Fatal,9
2020,20,Dry,Fine without high winds,Urban,Fatal,11
2021,20,Dry,Fine without high winds,Rural,Fatal,15
2021,20,Dry,Fine without high winds,Urban,Fatal,20
2022,20,Dry,Fine without high winds,Rural,Fatal,13
2022,20,Dry,Fine without high winds,Urban,Fatal,19
2023,20,Dry,Fine without high winds,Rural,Fatal,15
2023,20,Dry,Fine without high winds,Urban,Fatal,20
2014,30,Dry,Fine without high winds,Rural,Fatal,80
2014,30,Dry,Fine without high winds,Urban,Fatal,90
2015,30,Dry,Fine without high winds,Rural,Fatal,61
2015,30,Dry,Fine without high winds,Urban,Fatal,67
2016,30,Dry,Fine without high winds,Rural,Fatal,48
2016,30,Dry,Fine without high winds,Urban,Fatal,55
2017,30,Dry,Fine without high winds,Rural,Fatal,57
2017,30,Dry,Fine without high winds,Urban,Fatal,76
2018,30,Dry,Fine without high winds,Rural,Fatal,35
2018,30,Dry,Fine without high winds,Urban,Fatal,49
2019,30,Dry,Fine without high winds,Rural,Fatal,45
2019,30,Dry,Fine without high winds,Urban,Fatal,55
2020,30,Dry,Fine without high winds,Rural,Fatal,31
2020,30,Dry,Fine without high winds,Urban,Fatal,41
2021,30,Dry,Fine without high winds,Rural,Fatal,19
2021,30,Dry,Fine without high winds,Urban,Fatal,21
2022,30,Dry,Fine without high winds,Rural,Fatal,34
2022,30,Dry,Fine without high winds,Urban,Fatal,35
2023,30,Dry,Fine without high winds,Rural,Fatal,23
2023,30,Dry,Fine without high winds,Urban,Fatal,23
2014,40,Dry,Fine without high winds,Rural,Fatal,2
2014,40,Dry,Fine without high winds,Urban,Fatal,3
2015,40,Dry,Fine without high winds,Rural,Fatal,9
2015,40,Dry,Fine without high winds,Urban,Fatal,12
2016,40,Dry,Fine without high winds,Rural,Fatal,6
2016,40,Dry,Fine without high winds,Urban,Fatal,6
2017,40,Dry,Fine without high winds,Rural,Fatal,15
2017,40,Dry,Fine without high winds,Urban,Fatal,17
2018,40,Dry,Fine without high winds,Rural,Fatal,11
2018,40,Dry,Fine without high winds,Urban,Fatal,11
2019,40,Dry,Fine without high winds,Rural,Fatal,16
2019,40,Dry,Fine without high winds,Urban,Fatal,16
2020,40,Dry,Fine without high winds,Rural,Fatal,9
2020,40,Dry,Fine without high winds,Urban,Fatal,10
2021,40,Dry,Fine without high winds,Rural,Fatal,5
2021,40,Dry,Fine without high winds,Urban,Fatal,6
2022,40,Dry,Fine without high winds,Rural,Fatal,3
2022,40,Dry,Fine without high winds,Urban,Fatal,3
2023,40,Dry,Fine without high winds,Rural,Fatal,12
2023,40,Dry,Fine without high winds,Urban,Fatal,12
2014,50,Dry,Fine without high winds,Rural,Fatal,5
2014,50,Dry,Fine without high winds,Urban,Fatal,5
2015,50,Dry,Fine without high winds,Rural,Fatal,3
2015,50,Dry,Fine without high winds,Urban,Fatal,4
2016,50,Dry,Fine without high winds,Rural,Fatal,12
2016,50,Dry,Fine without high winds,Urban,Fatal,12
2017,50,Dry,Fine without high winds,Rural,Fatal,1
2017,50,Dry,Fine without high winds,Urban,Fatal,1
2018,50,Dry,Fine without high winds,Rural,Fatal,12
2018,50,Dry,Fine without high winds,Urban,Fatal,13
2019,50,Dry,Fine without high winds,Rural,Fatal,2
2019,50,Dry,Fine without high winds,Urban,Fatal,2
2020,50,Dry,Fine without high winds,Rural,Fatal,7
2020,50,Dry,Fine without high winds,Urban,Fatal,7
